PRIVATE  DOMESTIC  -  PRICE  INDICES  BY  CLASS  ( TERRITORY-WIDE ) [MONTHLY],,,,,,,,,,,,,,,,
Month,Class A,Class A - Remarks,Class B,Class B - Remarks,Class C,Class C - Remarks,Class D,Class D - Remarks,Class E,Class E - Remarks,"Classes A, B & C","Classes A, B & C - Remarks",Classes D & E,Classes D & E - Remarks,All Classes,All Classes - Remarks
01-1993,90.4,,81.3,,80.7,,74.2,,58.1,,85.5,,69.6,,84.4,
02-1993,90.5,,82.6,,81.3,,74.9,,62.2,,86.2,,71.3,,85.2,
03-1993,90.2,,83.9,,81.9,,75.4,,64.6,,86.7,,72.4,,85.7,
04-1993,92.5,,85.4,,83.7,,76.8,,66.2,,88.5,,73.9,,87.5,
05-1993,95.9,,88.6,,85.9,,80.5,,72.3,,91.6,,78.2,,90.7,
06-1993,98.3,,94,,91.4,,86.9,,76.3,,95.6,,84,,94.9,
07-1993,100.1,,98,,97.6,,90.6,,79.2,,98.9,,87.4,,98.1,
08-1993,101,,97.9,,96.1,,91.1,,76.8,,99.1,,87.1,,98.3,
09-1993,100.7,,96.2,,95.5,,88.7,,79,,98.1,,86,,97.3,
10-1993,97.8,,94.4,,95.6,,90,,83.2,,96,,88.1,,95.5,
11-1993,99.5,,97.3,,97.5,,92.9,,85.3,,98.3,,90.8,,97.8,
12-1993,102.2,,100.2,,100.3,,99,,92.4,,101.1,,97.2,,100.8,
01-1994,106.3,,108.6,,110.2,,106.6,,104,,107.8,,105.9,,107.7,
02-1994,109.9,,112.9,,113.3,,111.1,,108.3,,111.7,,110.3,,111.6,
03-1994,114.5,,122.9,,123.2,,119.7,,120.2,,119.4,,119.8,,119.4,
04-1994,116.9,,117.7,,123.8,,124.3,,120.5,,117.9,,123.3,,118.2,
05-1994,114.8,,115.8,,123,,115.4,,116.3,,116,,115.6,,116,
06-1994,114.1,,116.7,,122.8,,119,,112.8,,116.1,,117.3,,116.1,
07-1994,113.5,,113,,118.6,,116.7,,112.1,,113.7,,115.5,,113.8,
08-1994,116.7,,117.4,,122.7,,123.5,,115.6,,117.5,,121.4,,117.7,
09-1994,116.1,,115.6,,121.1,,117,,118,,116.3,,117.3,,116.3,
10-1994,116.5,,116.7,,118.4,,119.7,,115.1,,116.8,,118.5,,116.8,
11-1994,115.7,,114.1,,117.6,,117.7,,116.4,,115.1,,117.4,,115.2,
12-1994,110.2,,108.9,,114.5,,112.2,,118.4,,109.9,,113.8,,110.1,
01-1995,109.9,,109.9,,110.8,,111,,111.3,,110,,111.1,,110,
02-1995,113.9,,112.4,,109.8,,102.3,,99.5,Z,112.9,,101.6,,112.4,
03-1995,114.2,,112.9,,112.7,,108.9,,113.1,,113.5,,109.9,,113.3,
04-1995,114.7,,111.2,,112,,109.1,,113.6,,112.8,,110.1,,112.7,
05-1995,110.8,,109.4,,111.5,,109.8,,103.5,,110.2,,108.4,,110.1,
06-1995,110.4,,106,,108.8,,108.1,,108.7,,108.2,,108.2,,108.2,
07-1995,108.5,,105,,104.9,,103.2,,104.3,,106.5,,103.5,,106.4,
08-1995,108,,102.4,,105.4,,102.1,,101.3,,105.1,,101.9,,105,
09-1995,104.5,,99.6,,99.9,,98.9,,96.1,,101.8,,98.2,,101.6,
10-1995,103.5,,99.1,,98.9,,96.6,,96.2,,101,,96.5,,100.8,
11-1995,105.4,,102,,100.6,,99.7,,99.3,,103.3,,99.6,,103.2,
12-1995,106.3,,102.7,,102.9,,99.2,,94,,104.2,,98,,103.9,
01-1996,106.9,,104.7,,102,,100.2,,102.5,,105.4,,100.8,,105.2,
02-1996,109.1,,108.6,,107.2,,106.4,,104.5,,108.7,,105.9,,108.5,
03-1996,112.2,,114.5,,109.2,,107.6,,109.9,,113.1,,108.2,,112.8,
04-1996,112.1,,112.4,,110.9,,109.6,,113.4,,112.1,,110.6,,112.1,
05-1996,113.3,,113.5,,114.2,,111.7,,116.8,,113.5,,113,,113.5,
06-1996,114.7,,114.8,,117.1,,114.8,,116.3,,115,,115.2,,115,
07-1996,115.4,,114,,114.2,,115,,115.8,,114.6,,115.2,,114.6,
08-1996,116.8,,118.5,,116.4,,113.9,,115.6,,117.6,,114.3,,117.4,
09-1996,119,,117.7,,117,,118.7,,116.5,,118.2,,118.2,,118.2,
10-1996,122.4,,123.3,,124,,125.7,,124.1,,123,,125.3,,123.1,
11-1996,127.1,,128.2,,129.1,,130,,135.7,,127.8,,131.5,,128,
12-1996,132.5,,135.2,,136.5,,139.2,,140.2,,134.2,,139.5,,134.5,
01-1997,137.9,,143.6,,148.8,,156.1,,160.9,,141.7,,157.4,,142.7,
02-1997,151.1,,154.6,,160.6,,163.4,,164.2,,153.7,,163.6,,154.3,
03-1997,160.6,,162.4,,167.1,,163.1,,166.4,,162.1,,163.9,,162.2,
04-1997,154.5,,157.8,,162.1,,160.6,,159.5,,156.8,,160.3,,157,
05-1997,169.5,,173.7,,175.3,,175,,184.6,,172,,177.5,,172.3,
06-1997,171,,171,,177.7,,176.1,,179.6,,171.6,,177,,172,
07-1997,165.1,,166.7,,174.4,,171.9,,180,,166.7,,174,,167.2,
08-1997,168.8,,170.5,,180.2,,174.2,,185,,170.7,,177,,171.1,
09-1997,170.2,,169.1,,174.3,,174.4,,173.5,,170.1,,174.2,,170.3,
10-1997,171.1,,172.1,,178.7,,178.2,,198.2,,172.3,,183.4,,172.9,
11-1997,161.2,,157,,166.9,,173.1,,166.4,,159.8,,171.4,,160.5,
12-1997,155.4,,153.4,,160,,156.1,,156.3,,154.9,,156.2,,155,
01-1998,145.2,,141,,148.9,,147.4,,142.2,,143.6,,146.1,,143.7,
02-1998,138.5,,134.6,,136.2,,138.5,,135.7,,136.5,,137.8,,136.6,
03-1998,140.4,,137.9,,137.4,,137.6,,128.1,,139,,135,,138.7,
04-1998,135.5,,133.4,,136.3,,131.3,,126.6,,134.6,,130,,134.3,
05-1998,129.4,,126.2,,128.2,,125.2,,126.8,,127.8,,125.6,,127.6,
06-1998,114,,111.7,,110,,111,,118,,112.5,,112.9,,112.5,
07-1998,110.2,,105.9,,110.6,,105.9,,104.3,,108.1,,105.5,,108,
08-1998,106.3,,104.3,,102.1,,99.1,,98.5,,104.9,,98.9,,104.5,
09-1998,100.4,,96.8,,99.6,,102.1,,92.8,,98.5,,99.5,,98.5,
10-1998,96.6,,95.1,,95.2,,94.1,,96.3,,95.7,,94.7,,95.6,
11-1998,100.7,,100.4,,99.1,,101.2,,94.4,,100.4,,99.2,,100.3,
12-1998,105,,105,,103.5,,100.2,,104.5,,104.8,,101.5,,104.6,
01-1999,103.9,,103.9,,105,,102,,98.2,,104,,100.9,,103.8,
02-1999,103,,101.7,,102.8,,98,,97.5,,102.3,,97.8,,102,
03-1999,102.4,,102.2,,99.1,,99.6,,94.8,,102,,98.2,,101.7,
04-1999,102.7,,101.8,,101.4,,100.5,,101.7,,102.1,,100.9,,102,
05-1999,103.1,,103.1,,102.6,,100.7,,101.8,,103.1,,101,,102.9,
06-1999,103.3,,101.5,,101.8,,103.4,,102.2,,102.2,,103,,102.3,
07-1999,101.8,,101.4,,100,,105.3,,100.2,,101.4,,103.8,,101.6,
08-1999,99.3,,101.3,,100.5,,100.8,,103.2,,100.5,,101.5,,100.5,
09-1999,96.8,,97,,98,,99.7,,97.2,,97,,99,,97.1,
10-1999,95.5,,95.7,,96.5,,97.6,,99.1,,95.7,,98,,95.8,
11-1999,93.2,,94.5,,95.1,,95.1,,105.2,,94,,98,,94.3,
12-1999,94.9,,95.8,,97.1,,97.3,,99,,95.6,,97.8,,95.7,
01-2000,96.6,,97.5,,98.4,,98.8,,107.4,,97.2,,101.2,,97.5,
02-2000,96.2,,98,,98.2,,99.7,,102,,97.3,,100.3,,97.5,
03-2000,93.2,,95.8,,97.6,,99.7,,102.3,,95,,100.4,,95.3,
04-2000,92.4,,93.8,,96.8,,99.2,,101.2,,93.6,,99.7,,93.9,
05-2000,89,,89.9,,92.1,,99.1,,96.9,,89.8,,98.5,,90.3,
06-2000,84.5,,85.6,,89.5,,91.5,,95.3,,85.6,,92.5,,86,
07-2000,86,,86.2,,88,,90.3,,92.4,,86.3,,90.8,,86.6,
08-2000,86,,87.1,,88.1,,91.2,,95.7,,86.8,,92.4,,87.2,
09-2000,87.4,,88,,88.6,,92.3,,98,,87.8,,93.8,,88.2,
10-2000,86.5,,86.4,,88.1,,91.2,,98.4,,86.6,,93.1,,87,
11-2000,81.3,,84.1,,85.5,,89.3,,98.2,,83.2,,91.6,,83.7,
12-2000,80.2,,81.6,,83.7,,88.5,,96.5,,81.3,,90.6,,81.8,
01-2001,78.9,,80.5,,83.4,,88.4,,94.6,,80.2,,90,,80.7,
02-2001,78.7,,80,,83,,85.3,,91.3,,79.8,,86.9,,80.2,
03-2001,80.5,,82.3,,83.9,,87.2,,88.7,,81.8,,87.6,,82.1,
04-2001,81.9,,81.4,,84.6,,87.5,,90,,81.9,,88.2,,82.2,
05-2001,79,,80.5,,83.8,,83.4,,88.5,,80.2,,84.8,,80.5,
06-2001,78.7,,81.3,,85.3,,82.5,,88.8,,80.7,,84.1,,80.9,
07-2001,78.7,,80.5,,81.8,,83,,88.7,,79.9,,84.5,,80.2,
08-2001,76.7,,79.1,,78.8,,83.8,,89.9,,78.2,,85.4,,78.5,
09-2001,75.9,,77.5,,78.1,,81.1,,87.5,,76.9,,82.7,,77.2,
10-2001,72.7,,74.4,,75.7,,78.8,,80.9,,73.9,,79.3,,74.1,
11-2001,71.9,,74,,75.2,,78.5,,82.1,,73.3,,79.3,,73.6,
12-2001,72.3,,74.1,,75.5,,78.4,,82.5,,73.5,,79.4,,73.8,
01-2002,72.6,,74.5,,75.7,,78.2,,84,,73.9,,79.5,,74.1,
02-2002,73.4,,73.7,,74.3,,78.2,,86.2,,73.6,,80,,73.9,
03-2002,71.9,,73.6,,74.3,,78,,85.2,,73,,79.7,,73.3,
04-2002,70.4,,72.7,,74.3,,77.9,,84.9,,72,,79.5,,72.3,
05-2002,69.4,,73.7,,73.9,,77.7,,84.4,,72.1,,79.3,,72.4,
06-2002,69.4,,72.6,,74.3,,77.3,,83.2,,71.5,,78.7,,71.9,
07-2002,69,,71.4,,72.3,,77.2,,80.8,,70.6,,78.1,,70.9,
08-2002,66.9,,68.1,,70.6,,76.4,,79.2,,67.9,,77.1,,68.3,
09-2002,64.1,,67.5,,68.4,,75.3,,76.9,,66.3,,75.7,,66.7,
10-2002,64,,64.7,,68.7,,75.1,,77.2,,64.8,,75.6,,65.4,
11-2002,62.9,,64.9,,68.8,,75.1,,79.4,,64.5,,76.2,,65.1,
12-2002,62.7,,64.9,,67,,73.1,,80.5,,64.2,,75.1,,64.8,
01-2003,61.5,,63.4,,67.2,,72.6,,79.9,,63,,74.6,,63.6,
02-2003,61,,63.8,,66.5,,70.7,,75.7,,62.9,,72.1,,63.4,
03-2003,60,,60.6,,64.3,,68.8,,73.9,,60.7,,70.2,,61.2,
04-2003,59.4,,59.8,,64.1,,67.7,,72.6,,60,,69.1,,60.5,
05-2003,58.2,,59.3,,63.3,,67.6,,71.2,,59.2,,68.6,,59.7,
06-2003,57.3,,59.2,,62.6,,66.6,,71.7,,58.8,,68.1,,59.3,
07-2003,56.6,,58.3,,61.1,,64.9,,73.4,,57.9,,67.4,,58.4,
08-2003,56.8,,58.5,,60.8,,66.2,,73.7,,58,,68.4,,58.6,
09-2003,59.1,,60.2,,65.5,,70.5,,75.1,,60.3,,71.8,,60.9,
10-2003,61.3,,62.5,,68.6,,73.8,,80.4,,62.6,,75.7,,63.4,
11-2003,62.1,,63.6,,69.5,,74.3,,81.7,,63.6,,76.5,,64.3,
12-2003,63.2,,64.4,,70,,79.1,,85.6,,64.5,,81.1,,65.4,
01-2004,66.4,,68.8,,75.4,,81.1,,92.2,,68.5,,84.5,,69.5,
02-2004,69.2,,72.4,,81.5,,86.9,,96.2,,72.1,,89.7,,73.2,
03-2004,72.9,,77.1,,89,,96,,102.9,,76.7,,98,,78.1,
04-2004,73.4,,79.2,,89.3,,98.1,,101.7,,78,,99.2,,79.4,
05-2004,72.8,,76.4,,87.4,,96,,103.1,,76.2,,98.1,,77.5,
06-2004,69.7,,73.9,,83.2,,92.1,,106.3,,73.3,,96.2,,74.7,
07-2004,70,,74,,83.9,,93.4,,103.5,,73.5,,96.3,,74.9,
