PROPERTY  MARKET  YIELDS  -  PRIVATE  DOMESTIC [MONTHLY[DOMESTIC]],,,,,,,,,,
Month,Domestic Class A,Domestic Class A - Remarks,Domestic Class B,Domestic Class B - Remarks,Domestic Class C,Domestic Class C - Remarks,Domestic Class D,Domestic Class D - Remarks,Domestic Class E,Domestic Class E - Remarks
01-1999,5.2,,4.3,,4.3,,4.5,,4.5,
02-1999,5.2,,4.3,,4.4,,4.7,,4.4,
03-1999,5.2,,4.3,,4.5,,4.6,,4.6,
04-1999,5.1,,4.4,,4.4,,4.5,,4.2,
05-1999,5.1,,4.3,,4.4,,4.5,,4.1,
06-1999,5.1,,4.3,,4.4,,4.3,,4.1,
07-1999,5.2,,4.4,,4.5,,4.3,,4.2,
08-1999,5.3,,4.4,,4.5,,4.4,,4.1,
09-1999,5.4,,4.6,,4.5,,4.4,,4.3,
10-1999,5.3,,4.6,,4.6,,4.5,,4.2,
11-1999,5.4,,4.6,,4.6,,4.6,,4,
12-1999,5.4,,4.5,,4.5,,4.5,,4.2,
01-2000,5.3,,4.4,,4.4,,4.4,,3.9,
02-2000,5.3,,4.4,,4.5,,4.4,,4.1,
03-2000,5.5,,4.5,,4.5,,4.4,,4.1,
04-2000,5.6,,4.7,,4.6,,4.4,,4.2,
05-2000,5.9,,4.9,,4.9,,4.5,,4.4,
06-2000,6,,5.1,,4.9,,4.9,,4.5,
07-2000,6,,5,,5,,4.9,,4.6,
08-2000,5.9,,4.9,,5,,4.9,,4.6,
09-2000,5.8,,5,,5,,4.9,,4.5,
10-2000,5.9,,5.1,,5.2,,4.9,,4.5,
11-2000,6.3,,5.2,,5.3,,5.1,,4.5,
12-2000,6.3,,5.3,,5.3,,5.1,,4.6,
01-2001,6.4,,5.4,,5.4,,5.1,,4.7,
02-2001,6.5,,5.4,,5.4,,5.3,,4.9,
03-2001,6.3,,5.2,,5.3,,5.2,,5.1,
04-2001,6.1,,5.2,,5.2,,5.2,,4.9,
05-2001,6.3,,5.2,,5.3,,5.5,,5,
06-2001,6.2,,5.2,,5.1,,5.5,,5,
07-2001,6.1,,5.2,,5.3,,5.4,,5,
08-2001,6.3,,5.3,,5.5,,5.4,,4.9,
09-2001,6.3,,5.3,,5.5,,5.5,,5.1,
10-2001,6.5,,5.5,,5.6,,5.5,,5.4,
11-2001,6.5,,5.3,,5.6,,5.5,,5.1,
12-2001,6.3,,5.2,,5.4,,5.3,,5.1,
01-2002,6.2,,5.1,,5.4,,5.3,,5,
02-2002,6,,5.1,,5.4,,5.3,,4.8,
03-2002,6.1,,5.1,,5.3,,5.3,,4.8,
04-2002,6.1,,5.1,,5.2,,5.2,,4.6,
05-2002,6.1,,5,,5.1,,5.1,,4.6,
06-2002,6.1,,5,,5.1,,5,,4.7,
07-2002,6,,5,,5.2,,5,,4.8,
08-2002,6.2,,5.2,,5.2,,5,,4.9,
09-2002,6.5,,5.2,,5.2,,5,,5,
10-2002,6.3,,5.3,,5.1,,4.9,,4.9,
11-2002,6.4,,5.2,,5,,4.8,,4.7,
12-2002,6.3,,5.2,,5,,4.9,,4.4,
01-2003,6.4,,5.2,,4.9,,4.9,,4.4,
02-2003,6.4,,5.2,,4.9,,4.9,,4.7,
03-2003,6.4,,5.4,,5.2,,5.1,,4.7,
04-2003,6.3,,5.4,,5.2,,5.1,,4.7,
05-2003,6.4,,5.3,,5,,4.9,,4.7,
06-2003,6.5,,5.3,,5,,4.8,,4.6,
07-2003,6.5,,5.4,,5.1,,4.9,,4.4,
08-2003,6.5,,5.4,,5.1,,4.8,,4.3,
09-2003,6.1,,5.1,,4.7,,4.4,,4.3,
10-2003,5.9,,5,,4.4,,4.3,,4,
11-2003,5.9,,4.9,,4.5,,4.3,,3.9,
12-2003,5.8,,4.9,,4.5,,4,,3.8,
01-2004,5.6,,4.7,,4.3,,4.1,,3.5,
02-2004,5.4,,4.4,,4,,3.9,,3.3,
03-2004,5.2,,4.2,,3.8,,3.5,,3.3,
04-2004,5.2,,4.2,,3.9,,3.6,,3.3,
05-2004,5.2,,4.4,,3.9,,3.8,,3.3,
06-2004,5.5,,4.5,,4.2,,4,,3.3,
07-2004,5.5,,4.5,,4.2,,3.9,,3.4,
08-2004,5.3,,4.4,,4,,4,,3.4,
09-2004,5.2,,4.2,,3.9,,3.7,,3.3,
10-2004,5,,4.1,,3.7,,3.6,,3.1,
11-2004,5.2,,4.2,,3.9,,3.6,,3.2,
12-2004,5.1,,4.2,,3.9,,3.5,,3.1,
01-2005,5.1,,4.2,,3.8,,3.4,,3,
02-2005,4.9,,4,,3.7,,3.6,,3,
03-2005,4.6,,3.8,,3.5,,3.4,,2.9,
04-2005,4.7,,3.9,,3.6,,3.3,,2.8,
05-2005,4.9,,3.9,,3.5,,3.3,,2.9,
06-2005,5,,4,,3.7,,3.3,,3,
07-2005,5,,4.1,,3.7,,3.4,,3.1,
08-2005,5,,4,,3.8,,3.4,,3.1,
09-2005,5.1,,4.1,,3.6,,3.4,,3.1,
10-2005,5.2,,4.3,,3.9,,3.4,,3,
11-2005,5.5,,4.4,,4,,3.6,,3.2,
12-2005,5.3,,4.3,,4,,3.6,,3.1,
01-2006,5.2,,4.2,,3.9,,3.6,,3,
02-2006,5.2,,4.2,,3.9,,3.7,,3,
03-2006,5.2,,4.2,,3.7,,3.6,,3,
04-2006,5.2,,4.2,,3.8,,3.5,,3,
05-2006,5.1,,4.1,,3.7,,3.4,,3.2,
06-2006,5.3,,4.2,,3.8,,3.6,,3,
07-2006,5.3,,4.2,,4,,3.6,,3.3,
08-2006,5.3,,4.2,,3.8,,3.5,,3.1,
09-2006,5.3,,4.3,,3.7,,3.5,,3.1,
10-2006,5.4,,4.3,,3.8,,3.6,,3.3,
11-2006,5.5,,4.3,,3.7,,3.5,,3.4,
12-2006,5.4,,4.3,,3.8,,3.6,,3.3,
01-2007,5.3,,4.3,,3.8,,3.7,,3.1,
02-2007,5.2,,4.2,,3.8,,3.6,,3.2,
03-2007,5.2,,4.3,,3.9,,3.6,,3.2,
04-2007,5.2,,4.3,,3.8,,3.6,,3.1,
05-2007,5.2,,4.2,,3.8,,3.7,,3.1,
06-2007,5.2,,4.2,,3.9,,3.6,,3.1,
07-2007,5.2,,4.2,,3.8,,3.6,,3.3,
08-2007,5.2,,4.3,,3.8,,3.5,,3.1,
09-2007,5.2,,4.3,,3.9,,3.5,,3,
10-2007,5.1,,4.2,,3.8,,3.5,,2.9,
11-2007,4.9,,4.2,,3.6,,3.4,,2.9,
12-2007,4.8,,4.1,,3.5,,3.3,,2.8,
01-2008,4.7,,4,,3.5,,3.3,,2.9,
02-2008,4.7,,4,,3.5,,3.4,,2.9,
03-2008,4.7,,4.1,,3.6,,3.4,,2.9,
04-2008,4.8,,4.1,,3.7,,3.4,,2.9,
05-2008,4.9,,4.1,,3.6,,3.4,,3,
06-2008,4.8,,4.2,,3.7,,3.4,,3,
07-2008,4.9,,4.2,,3.8,,3.7,,3,
08-2008,5,,4.2,,3.8,,3.6,,3,
09-2008,4.9,,4.1,,3.8,,3.7,,3.3,
10-2008,5.1,,4.3,,4.1,,3.8,,3.4,
11-2008,5.1,,4.3,,4.1,,4,,3.7,
12-2008,4.8,,3.9,,3.7,,3.6,,3.1,
01-2009,4.7,,3.7,,3.4,,3.3,,3,
02-2009,4.6,,3.7,,3.4,,3.2,,2.9,
03-2009,4.5,,3.6,,3.3,,3.1,,2.8,
04-2009,4.3,,3.5,,3.2,,2.9,,2.5,
05-2009,4.3,,3.5,,3,,2.9,,2.4,
06-2009,4.2,,3.5,,3,,2.8,,2.5,
07-2009,4.1,,3.4,,3.1,,2.7,,2.5,
08-2009,4,,3.5,,3,,2.7,,2.3,
09-2009,4.1,,3.6,,3,,2.7,,2.3,
10-2009,4.1,,3.6,,3,,2.7,,2.4,
11-2009,4.2,,3.6,,3.1,,2.8,,2.5,
12-2009,4.1,,3.6,,3.1,,2.7,,2.4,
01-2010,4,,3.5,,3.1,,2.7,,2.4,
02-2010,4,,3.4,,3.1,,2.7,,2.3,
03-2010,4,,3.5,,3,,2.6,,2.3,
04-2010,4,,3.5,,3.1,,2.8,,2.5,
05-2010,4.1,,3.6,,3.1,,2.8,,2.6,
06-2010,4.1,,3.6,,3.1,,2.8,,2.6,
07-2010,4,,3.5,,3.1,,2.8,,2.4,
08-2010,4,,3.5,,3,,2.8,,2.4,
09-2010,4,,3.5,,3.1,,2.8,,2.4,
10-2010,4,,3.5,,3.1,,2.8,,2.5,
11-2010,3.9,,3.5,,3,,2.8,,2.5,
12-2010,3.9,,3.5,,3,,2.7,,2.5,
01-2011,3.7,,3.3,,2.9,,2.7,,2.5,
02-2011,3.6,,3.2,,2.8,,2.7,,2.4,
03-2011,3.6,,3.2,,2.8,,2.7,,2.4,
04-2011,3.6,,3.2,,2.9,,2.6,,2.4,
05-2011,3.6,,3.2,,2.8,,2.6,,2.3,
06-2011,3.6,,3.3,,2.9,,2.6,,2.3,
07-2011,3.8,,3.3,,2.9,,2.6,,2.4,
08-2011,3.8,,3.3,,3,,2.7,,2.5,
09-2011,3.8,,3.3,,2.9,,2.7,,2.5,
10-2011,3.8,,3.3,,3,,2.7,,2.5,
11-2011,3.8,,3.3,,3,,2.7,,2.5,
12-2011,3.8,,3.3,,3,,2.7,,2.4,
01-2012,3.8,,3.3,,3,,2.7,,2.4,
02-2012,3.7,,3.2,,2.9,,2.7,,2.4,
03-2012,3.6,,3.1,,2.8,,2.6,,2.3,
04-2012,3.5,,3.1,,2.8,,2.6,,2.3,
05-2012,3.5,,3.1,,2.8,,2.5,,2.2,
06-2012,3.6,,3.1,,2.8,,2.5,,2.2,
07-2012,3.6,,3.2,,2.8,,2.5,,2.2,
08-2012,3.5,,3.2,,2.8,,2.5,,2.2,
09-2012,3.4,,3.1,,2.8,,2.5,,2.2,
10-2012,3.4,,3.1,,2.8,,2.5,,2.2,
11-2012,3.4,,3.1,,2.8,,2.5,,2.2,
12-2012,3.3,,3,,2.8,,2.5,,2.2,
01-2013,3.2,,2.9,,2.7,,2.5,,2.2,
02-2013,3.2,,2.9,,2.6,,2.4,,2.1,
03-2013,3.2,,2.8,,2.6,,2.4,,2.1,
